word,meaning
rizz,charisma used to attract someone
skibidi,weird random or chaotic meme word
gyatt,reaction to someone attractive
cap,a lie or false statement
mid,average boring or low quality
bussin,extremely good
sus,suspicious or sketchy
based,confident and unapologetic
simp,person overly eager to please a crush
slaps,very good or impressive
goated,extremely great
sigma,independent lone wolf person
alpha,dominant leader type person
beta,weak or submissive person
delulu,delusional or unrealistic
opp,enemy or rival
stan,very dedicated fan
slay,do something extremely well
npc,person who seems basic or robotic
zesty,flamboyant or extra
glazing,excessive praise
flop,a failure
snatched,looking very good
yassify,make something glamorous
mewing,jawline posture trend
brainrot,addictive low quality online content
cooked,in serious trouble
sheesh,reaction to something impressive
yapping,talking too much
yapper,person who talks too much
ohio,weird cursed or chaotic
mog,look better than someone else
ratio,outperform a post with replies
tea,gossip or drama
ick,sudden turnoff
lowkey,quietly or slightly
highkey,openly or strongly
bet,okay or agreed
fam,close friends
boo,romantic partner
flex,show off
period,end of discussion
drip,stylish clothing or appearance
heat,something very good
cringe,embarrassing or awkward
valid,reasonable or acceptable
dead,laughing very hard
deceased,laughing extremely hard
iconic,very memorable or impressive
legendary,extremely impressive
pog,excited or impressive
poggers,very excited
real,true or relatable
manifesting,trying to attract a desired outcome
canon,official story detail
fanon,fan created story idea
lore,backstory or history
headcanon,personal belief about a story
ship,want two people together
shipping,supporting a relationship pairing
otp,favorite relationship pairing
irl,in real life
op,original poster
afk,away from keyboard
gg,good game
ez,easy
diff,difference in skill
carried,won because of another person
lag,slow response or delay
ping,network delay
clout,fame or online influence
cancel,reject someone publicly
receipts,proof such as screenshots
expose,reveal bad behavior publicly
mutuals,people who follow each other
finsta,private Instagram account
alt,alternate account
burner,temporary anonymous account
ghost,suddenly stop replying
toxic,harmful or unhealthy
aesthetic,visual style or vibe
vibe,overall feeling
energy,emotional impression
grinding,working hard consistently
farming,repeating actions for rewards
meta,most effective strategy
nerfed,made weaker
buffed,made stronger
overpowered,too strong or unfair
whale,person who spends heavily in games
casual,relaxed and not serious
hardcore,very intense or serious
tryhard,person trying too hard
sweat,high effort competitive player
smurf,skilled player on a low rank account
throw,lose through bad play
inting,intentionally playing badly
report,flag bad behavior
blud,bro or dude
bruv,brother or friend
gang,friend group
squad,group or team
crew,close group of friends
clique,tight social group
shadowban,hidden reduction of account reach
algorithm,system choosing shown content
fyp,short video recommendation feed
viral,spreading rapidly online
trending,currently popular
pov,point of view
doomscroll,endlessly scroll bad news
chronically,excessively online
terminally,extremely online
goblin,messy and self indulgent
locked,fully focused
unlocked,reached full potential
pressed,bothered or upset
ate,performed perfectly
cuffing,seeking a relationship in colder months
breadcrumbing,giving small attention to keep interest
benching,keeping someone as a backup
catfish,pretend to be someone else online
crashout,person who loses control
